Age,primaryStreamingService,hoursPerDay,whileWorking,favGenre,Anxiety,Depression,Insomnia,OCD,musicEffects
17,Spotify,1.5,Yes,Rock,8,7,7,3,noEffect
25,Spotify,3,Yes,Metal,9,8,6,2,Improve
15,Spotify,4,Yes,Rock,8,6,4,0,Improve
13,Spotify,10,Yes,Rap,7,2,0,8,Improve
38,Spotify,3,Yes,Rock,6,7,7,7,noEffect
23,Apple Music,3,No,Rock,7,6,4,2,Improve
17,Spotify,3,Yes,Pop,1,1,1,0,Improve
59,YouTube Music,2,Yes,Pop,1,1,3,0,Improve
22,Spotify,2,Yes,Pop,2,7,1,2,Improve
17,Apple Music,3,Yes,Pop,6,2,3,1,noEffect
27,Spotify,2,No,Pop,7,7,3,2,noEffect
23,Spotify,5,Yes,Video game music,8,7,0,3,noEffect
15,Spotify,6,Yes,Rock,8,3,5,2,Improve
22,Spotify,3,Yes,EDM,5,4,2,0,Improve
23,Spotify,5,Yes,Lofi,7,10,10,1,Improve
19,Spotify,5,Yes,Country,7,6,8,4,Improve
32,Spotify,6,Yes,Rock,8,7,0,9,Improve
40,Spotify,6,Yes,Rock,10,7,3,3,noEffect
21,Spotify,3,Yes,Country,6,5,5,3,Improve
21,Spotify,10,Yes,Rock,8,7,6,8,noEffect
23,Spotify,2,Yes,Video game music,10,7,7,3,Worsen
35,Spotify,3,No,Folk,8,2,2,8,noEffect
18,Spotify,1.5,No,Hip hop,3,7,4,0,Improve
21,I do not use a streaming service.,10,Yes,Pop,9,7,5,5,Improve
22,I do not use a streaming service.,2,Yes,Video game music,5,3,0,0,Improve
23,Spotify,3,Yes,Rock,10,7,0,10,Improve
13,Spotify,2.5,Yes,Folk,8,0,0,3,Improve
19,Spotify,3,Yes,K pop,6,0,3,0,Improve
33,YouTube Music,0.5,Yes,Rock,7,9,4,6,Improve
18,Spotify,16,Yes,Jazz,3,2,5,6,Improve
17,YouTube Music,6,Yes,Classical,4,2,0,0,Improve
16,Spotify,3,Yes,EDM,4,2,0,0,Improve
18,YouTube Music,0.5,No,Rock,5,3,1,0,noEffect
19,Spotify,5,Yes,K pop,4,2,2,1,Improve
15,YouTube Music,2,No,Rap,4,0,6,5,noEffect
17,Spotify,2,Yes,Pop,7,6,3,1,Improve
25,Spotify,2,Yes,Lofi,7,8,6,2,Improve
24,Other streaming service,1.5,Yes,Video game music,3,4,1,1,Improve
23,Spotify,1,Yes,Jazz,9,7,2,1,Improve
16,Spotify,10,Yes,EDM,10,9,3,2,Improve
25,YouTube Music,2,Yes,Metal,9,9,7,3,Improve
16,Spotify,15,Yes,EDM,8,10,9,2,Improve
20,I do not use a streaming service.,0.5,No,Metal,8,9,6,4,Improve
17,Spotify,3,Yes,Metal,5,6,9,9,Improve
29,I do not use a streaming service.,2,Yes,Metal,9,3,7,2,Improve
20,Spotify,4,Yes,Hip hop,3,2,1,6,Improve
16,Spotify,2,Yes,Folk,7,7,4,0,Improve
21,Spotify,1,Yes,Rock,7,9,1,2,Improve
16,Spotify,24,Yes,Rock,5,1,9,1,Improve
43,Spotify,1,Yes,Pop,3,3,0,0,Improve
32,Pandora,2,Yes,Classical,8,7,5,4,Improve
10,YouTube Music,2,Yes,Pop,8,2,1,1,Improve
27,Spotify,3,Yes,Metal,4,0,0,0,Improve
24,Spotify,3,Yes,Classical,9,6,1,1,Improve
18,Spotify,2,Yes,Hip hop,10,7,2,0,Improve
17,Apple Music,7,Yes,Rock,8,7,7,4,Improve
19,Spotify,6,Yes,Metal,1,0,0,0,Improve
16,YouTube Music,3,Yes,Rock,5,7,1,4,Improve
64,Other streaming service,5,Yes,Rock,7,6,9,2,Improve
33,Apple Music,4,Yes,Lofi,8,8,2,2,Improve
32,I do not use a streaming service.,3,Yes,Rock,2,2,8,0,noEffect
15,Pandora,2,Yes,Pop,6,0,0,2,Improve
27,YouTube Music,3,Yes,Metal,2,0,1,0,Improve
20,I do not use a streaming service.,2,Yes,Rock,6,2,6,7,noEffect
23,I do not use a streaming service.,2,Yes,Pop,6,1,0,5,Improve
19,Apple Music,3,No,Classical,7,6,4,0,Improve
12,YouTube Music,2,Yes,Classical,0,0,3,0,Improve
16,Other streaming service,3,Yes,Classical,9,7,10,6,noEffect
17,Other streaming service,0,No,Video game music,10,0,0,0,noEffect
14,Spotify,1,Yes,Pop,6,6,3,0,Improve
32,Spotify,2,Yes,Metal,4,3,1,6,Improve
20,Spotify,2,Yes,Pop,6,2,2,1,noEffect
54,I do not use a streaming service.,6,Yes,Classical,2,2,3,2,Improve
18,Spotify,5,Yes,K pop,7,4,5,6,Improve
14,Spotify,2,Yes,Classical,7,5,3,2,Improve
13,Other streaming service,4,Yes,Classical,8,5,10,3,Improve
19,Apple Music,8,Yes,Country,7,5,6,5,Improve
14,Spotify,4,Yes,Classical,6,8,8,2,Improve
14,YouTube Music,1.5,No,Classical,1,2,4,3,Improve
18,Apple Music,2,Yes,Rap,3,2,0,2,Improve
15,Spotify,5,Yes,Folk,6,7,7,4,Improve
24,YouTube Music,6,Yes,Classical,6,7,2,0,noEffect
17,Apple Music,2,Yes,Pop,9,8,4,8,Improve
44,Spotify,2,No,Rock,7,7,2,1,Improve
23,Spotify,1,No,Rock,1,0,1,0,Improve
21,Apple Music,1,No,Rap,4,3,4,5,Improve
57,Other streaming service,2,No,R&B,2,0,0,0,Improve
23,Spotify,2,Yes,Rock,0,5,7,0,noEffect
18,Spotify,1,Yes,Pop,8,7,7,0,Improve
26,Spotify,14,Yes,Hip hop,5,10,8,0,noEffect
13,YouTube Music,3,Yes,Classical,8,7,9,2,Improve
15,Spotify,3,Yes,Classical,9,6,8,5,Improve
57,YouTube Music,2,Yes,Rock,2,2,7,0,noEffect
12,Spotify,0.5,Yes,Classical,7,8,6,2,Improve
26,Spotify,6,Yes,EDM,10,10,8,2,noEffect
17,Spotify,1,Yes,Country,8,5,2,3,Improve
17,Spotify,2,Yes,Classical,7,8,2,5,Improve
69,Pandora,4,Yes,Classical,1,1,2,0,Improve
17,Spotify,3,Yes,R&B,9,10,10,3,noEffect
32,Spotify,12,Yes,Jazz,9,4,4,4,Improve
22,YouTube Music,3,No,Classical,8,2,4,0,noEffect
38,Spotify,1,No,Metal,1,1,5,1,Improve
18,YouTube Music,10,Yes,EDM,10,9,9,8,Improve
14,Spotify,5,Yes,Classical,3,0,2,3,Improve
14,Other streaming service,0.5,Yes,Video game music,4,0,4,0,Improve
19,Spotify,5,Yes,Metal,2,3,5,2,Improve
20,YouTube Music,3,Yes,Classical,2,3,3,0,Improve
18,Spotify,2,No,Rock,8,4,3,0,Improve
31,I do not use a streaming service.,4,Yes,Classical,8,8,9,3,Improve
72,Spotify,6,Yes,Rock,0,1,0,2,Improve
73,Pandora,3,Yes,R&B,5,4,0,1,Improve
16,Spotify,4,Yes,Pop,7.5,5,7,8.5,Improve
19,YouTube Music,3,No,Rap,3,3,0,0,Improve
16,Spotify,2,Yes,Classical,7,5,3,1,Improve
12,Spotify,2,Yes,Classical,8,0,1,6,Improve
39,Spotify,1,Yes,Hip hop,6,4,1,1,Improve
15,Spotify,6,Yes,K pop,8,8,7,10,noEffect
14,Spotify,9,Yes,R&B,10,8,9,5,Improve
21,Spotify,1,No,Country,3,0,2,0,Improve
38,Apple Music,1,Yes,Video game music,5,5,7,1,Worsen
23,Spotify,0.5,No,Hip hop,7,7,6,5,Improve
16,Other streaming service,1,No,EDM,7,4,6,3,Improve
